dataset,test_size,horizon,order,seasonal_order,iter,mae,mse,rmse,smape
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",115,1.238,2.607,1.615,36.483
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",116,1.233,2.601,1.613,36.682
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",117,1.22,2.54,1.594,37.48
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",118,1.323,2.562,1.601,42.152
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",119,1.706,3.975,1.994,63.494
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",120,1.367,2.629,1.621,44.956
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",121,1.188,2.235,1.495,37.066
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",122,1.293,2.379,1.542,40.698
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",123,1.326,2.921,1.709,39.796
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",124,1.264,2.603,1.613,38.553
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",125,1.309,2.736,1.654,39.251
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",126,1.291,2.506,1.583,38.431
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",127,1.903,4.821,2.196,57.013
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",128,2.781,9.894,3.145,78.207
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",129,1.651,3.641,1.908,44.983
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",130,1.379,3.242,1.801,40.595
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",131,2.697,9.327,3.054,56.168
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",132,3.738,16.066,4.008,65.726
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",133,2.797,9.877,3.143,57.137
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",134,1.895,5.278,2.297,46.844
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",135,1.576,3.982,1.995,42.42
